Label,Data,clean,clean_sentence
spam,a private finance account assignment statement can show an unredeemed bonus point claim because call identifier code expires,"['private', 'finance', 'account', 'assignment', 'statement', 'show', 'unredeemed', 'bonus', 'point', 'claim', 'call', 'identifier', 'code', 'expires']",private finance account assignment statement show unredeemed bonus point claim call identifier code expires
spam,when private companies account release statement show the unredeemed bonus point rental claim call number identifier code expires,"['private', 'company', 'account', 'release', 'statement', 'show', 'unredeemed', 'bonus', 'point', 'rental', 'claim', 'call', 'number', 'identifier', 'code', 'expires']",private company account release statement show unredeemed bonus point rental claim call number identifier code expires
spam,lost without help,"['lost', 'without', 'help']",lost without help
spam,lost their help,"['lost', 'help']",lost help
spam,buy space buy invader first chance win orig if arcade game buy console press game arcade access standard buy wireless access game point charge option see article co ukgames term setting offence purchase,"['buy', 'space', 'buy', 'invader', 'first', 'chance', 'win', 'orig', 'arcade', 'game', 'buy', 'console', 'press', 'game', 'arcade', 'access', 'standard', 'buy', 'wireless', 'access', 'game', 'point', 'charge', 'option', 'see', 'article', 'co', 'ukgames', 'term', 'setting', 'offence', 'purchase']",buy space buy invader first chance win orig arcade game buy console press game arcade access standard buy wireless access game point charge option see article co ukgames term setting offence purchase
spam,only buy on space invader chance win for orig bang arcade game extra console to press video game arcade standard wireless access licence point charge see co ukgames free term setting offence purchase,"['buy', 'space', 'invader', 'chance', 'win', 'orig', 'bang', 'arcade', 'game', 'extra', 'console', 'press', 'video', 'game', 'arcade', 'standard', 'wireless', 'access', 'licence', 'point', 'charge', 'see', 'co', 'ukgames', 'free', 'term', 'setting', 'offence', 'purchase']",buy space invader chance win orig bang arcade game extra console press video game arcade standard wireless access licence point charge see co ukgames free term setting offence purchase
spam,most urgent job important job information to user today lucky day find log onto fantastic surprise awaiting,"['urgent', 'job', 'important', 'job', 'information', 'user', 'today', 'lucky', 'day', 'find', 'log', 'onto', 'fantastic', 'surprise', 'awaiting']",urgent job important job information user today lucky day find log onto fantastic surprise awaiting
spam,urgent yet important information user today lucky day you find this log entered onto fantastic surprise awaiting,"['urgent', 'yet', 'important', 'information', 'user', 'today', 'lucky', 'day', 'find', 'log', 'entered', 'onto', 'fantastic', 'surprise', 'awaiting']",urgent yet important information user today lucky day find log entered onto fantastic surprise awaiting
spam,prime offence polyphonic tone release mob boss every new week message pt tone free get txtin tell friend me ptone reply half the life video game info,"['prime', 'offence', 'polyphonic', 'tone', 'release', 'mob', 'bos', 'every', 'new', 'week', 'message', 'pt', 'tone', 'free', 'get', 'txtin', 'tell', 'friend', 'ptone', 'reply', 'half', 'life', 'video', 'game', 'info']",prime offence polyphonic tone release mob bos every new week message pt tone free get txtin tell friend ptone reply half life video game info
spam,offence polyphonic in tone mob text every week message pt tone free reply get off txtin tell thy friend in ptone reply half life game change info,"['offence', 'polyphonic', 'tone', 'mob', 'text', 'every', 'week', 'message', 'pt', 'tone', 'free', 'reply', 'get', 'txtin', 'tell', 'thy', 'friend', 'ptone', 'reply', 'half', 'life', 'game', 'change', 'info']",offence polyphonic tone mob text every week message pt tone free reply get txtin tell thy friend ptone reply half life game change info
spam,winner valued two connected computer customer service selected receive prize cash reward to claim and call claim computer program calling kl a valid hour,"['winner', 'valued', 'two', 'connected', 'computer', 'customer', 'service', 'selected', 'receive', 'prize', 'cash', 'reward', 'claim', 'call', 'claim', 'computer', 'program', 'calling', 'kl', 'valid', 'hour']",winner valued two connected computer customer service selected receive prize cash reward claim call claim computer program calling kl valid hour
spam,winner best valued two connected users computer service customer selected must receive prize reward claim call claim for computer replacement program kl valid hour,"['winner', 'best', 'valued', 'two', 'connected', 'user', 'computer', 'service', 'customer', 'selected', 'must', 'receive', 'prize', 'reward', 'claim', 'call', 'claim', 'computer', 'replacement', 'program', 'kl', 'valid', 'hour']",winner best valued two connected user computer service customer selected must receive prize reward claim call claim computer replacement program kl valid hour
spam,gsoh good unsolicted by email please ladiesu could ask male friend gigolo join uk girls fastest growing men football club help reply save oncall phone mjzgroup stop reply stop msg version rcvd,"['gsoh', 'good', 'unsolicted', 'email', 'please', 'ladiesu', 'could', 'ask', 'male', 'friend', 'gigolo', 'join', 'uk', 'girl', 'fastest', 'growing', 'men', 'football', 'club', 'help', 'reply', 'save', 'oncall', 'phone', 'mjzgroup', 'stop', 'reply', 'stop', 'msg', 'version', 'rcvd']",gsoh good unsolicted email please ladiesu could ask male friend gigolo join uk girl fastest growing men football club help reply save oncall phone mjzgroup stop reply stop msg version rcvd
spam,gsoh is good unsolicted email email from ladiesu could join male gigolo s join uk women fastest growing men beta club open reply oncall mjzgroup shop stop reply post stop msg rcvd,"['gsoh', 'good', 'unsolicted', 'email', 'email', 'ladiesu', 'could', 'join', 'male', 'gigolo', 'join', 'uk', 'woman', 'fastest', 'growing', 'men', 'beta', 'club', 'open', 'reply', 'oncall', 'mjzgroup', 'shop', 'stop', 'reply', 'post', 'stop', 'msg', 'rcvd']",gsoh good unsolicted email email ladiesu could join male gigolo join uk woman fastest growing men beta club open reply oncall mjzgroup shop stop reply post stop msg rcvd
spam,free for msg get on gnarl at barkley crazy sound cell this phone make of receiving call is totally free reply sent go message right,"['free', 'msg', 'get', 'gnarl', 'barkley', 'crazy', 'sound', 'cell', 'phone', 'make', 'receiving', 'call', 'totally', 'free', 'reply', 'sent', 'go', 'message', 'right']",free msg get gnarl barkley crazy sound cell phone make receiving call totally free reply sent go message right
spam,free program msg i get gnarl barkley crazy sound cell phone please make one receiving call u totally free reply u go all message right,"['free', 'program', 'msg', 'get', 'gnarl', 'barkley', 'crazy', 'sound', 'cell', 'phone', 'please', 'make', 'one', 'receiving', 'call', 'u', 'totally', 'free', 'reply', 'u', 'go', 'message', 'right']",free program msg get gnarl barkley crazy sound cell phone please make one receiving call u totally free reply u go message right
spam,get official england polyamory sound voice cell phone make contact receiving line call change colour voice bandana voice mobile tonight on game text tone bandana optout and message eng stop tv box fm wwx,"['get', 'official', 'england', 'polyamory', 'sound', 'voice', 'cell', 'phone', 'make', 'contact', 'receiving', 'line', 'call', 'change', 'colour', 'voice', 'bandana', 'voice', 'mobile', 'tonight', 'game', 'text', 'tone', 'bandana', 'optout', 'message', 'eng', 'stop', 'tv', 'box', 'fm', 'wwx']",get official england polyamory sound voice cell phone make contact receiving line call change colour voice bandana voice mobile tonight game text tone bandana optout message eng stop tv box fm wwx
spam,facebook get back official england polyamory social sound mobile cell phone make receiving message call colour smile bandana mobile tonight game face text tone bandana for optout message signal eng fm stop box wwx,"['facebook', 'get', 'back', 'official', 'england', 'polyamory', 'social', 'sound', 'mobile', 'cell', 'phone', 'make', 'receiving', 'message', 'call', 'colour', 'smile', 'bandana', 'mobile', 'tonight', 'game', 'face', 'text', 'tone', 'bandana', 'optout', 'message', 'signal', 'eng', 'fm', 'stop', 'box', 'wwx']",facebook get back official england polyamory social sound mobile cell phone make receiving message call colour smile bandana mobile tonight game face text tone bandana optout message signal eng fm stop box wwx
spam,free message be free welcome new improved sex talk dogging this club unsubscribe this service and reply stop msg,"['free', 'message', 'free', 'welcome', 'new', 'improved', 'sex', 'talk', 'dogging', 'club', 'unsubscribe', 'service', 'reply', 'stop', 'msg']",free message free welcome new improved sex talk dogging club unsubscribe service reply stop msg
spam,message free call welcome new age improved sex dogging call club unsubscribe web service free reply stop down msg,"['message', 'free', 'call', 'welcome', 'new', 'age', 'improved', 'sex', 'dogging', 'call', 'club', 'unsubscribe', 'web', 'service', 'free', 'reply', 'stop', 'msg']",message free call welcome new age improved sex dogging call club unsubscribe web service free reply stop msg
spam,free one week on noone messages nokia use tone mobile every second week message nokia to get txting tell u mate mobile pobox wwq normptone,"['free', 'one', 'week', 'noone', 'message', 'nokia', 'use', 'tone', 'mobile', 'every', 'second', 'week', 'message', 'nokia', 'get', 'txting', 'tell', 'u', 'mate', 'mobile', 'pobox', 'wwq', 'normptone']",free one week noone message nokia use tone mobile every second week message nokia get txting tell u mate mobile pobox wwq normptone
spam,free week noone nokia line tone mail mobile day every week message from nokia get home txting tell your mate pobox message wwq and normptone,"['free', 'week', 'noone', 'nokia', 'line', 'tone', 'mail', 'mobile', 'day', 'every', 'week', 'message', 'nokia', 'get', 'home', 'txting', 'tell', 'mate', 'pobox', 'message', 'wwq', 'normptone']",free week noone nokia line tone mail mobile day every week message nokia get home txting tell mate pobox message wwq normptone
spam,if urgent need please call abta complimentary bank spanish word holiday cash await card collection stamped tc box po 5 easy ppm,"['urgent', 'need', 'please', 'call', 'abta', 'complimentary', 'bank', 'spanish', 'word', 'holiday', 'cash', 'await', 'card', 'collection', 'stamped', 'tc', 'box', 'po', 'easy', 'ppm']",urgent need please call abta complimentary bank spanish word holiday cash await card collection stamped tc box po easy ppm
spam,urgent please call for abta and complimentary spanish and holiday cash await quick collection stamped tc cash box po easy key ppm,"['urgent', 'please', 'call', 'abta', 'complimentary', 'spanish', 'holiday', 'cash', 'await', 'quick', 'collection', 'stamped', 'tc', 'cash', 'box', 'po', 'easy', 'key', 'ppm']",urgent please call abta complimentary spanish holiday cash await quick collection stamped tc cash box po easy key ppm
spam,access urgent zone mobile was awarded bonus caller no prize as final try contact u call landline mobile boxwrc ppm,"['access', 'urgent', 'zone', 'mobile', 'awarded', 'bonus', 'caller', 'prize', 'final', 'try', 'contact', 'u', 'call', 'landline', 'mobile', 'boxwrc', 'ppm']",access urgent zone mobile awarded bonus caller prize final try contact u call landline mobile boxwrc ppm
spam,uk urgent mobile awarded bonus minute caller won prize prize final try contact u call on landline phone boxwrc ppm,"['uk', 'urgent', 'mobile', 'awarded', 'bonus', 'minute', 'caller', 'prize', 'prize', 'final', 'try', 'contact', 'u', 'call', 'landline', 'phone', 'boxwrc', 'ppm']",uk urgent mobile awarded bonus minute caller prize prize final try contact u call landline phone boxwrc ppm
spam,want get laid tonight live want real dogging location live sent direct mob in join up uk are largest at dogging two hands connected computer bittorrent for txting gravel trap nt for eca p msg,"['want', 'get', 'laid', 'tonight', 'live', 'want', 'real', 'dogging', 'location', 'live', 'sent', 'direct', 'mob', 'join', 'uk', 'largest', 'dogging', 'two', 'hand', 'connected', 'computer', 'bittorrent', 'txting', 'gravel', 'trap', 'nt', 'eca', 'p', 'msg']",want get laid tonight live want real dogging location live sent direct mob join uk largest dogging two hand connected computer bittorrent txting gravel trap nt eca p msg
spam,want get laid tonight want real dogging location photo sent by direct mob join uk largest paid dogging site two connected computer on bittorrent computers txting hot gravel with nt eca 5 p to msg,"['want', 'get', 'laid', 'tonight', 'want', 'real', 'dogging', 'location', 'photo', 'sent', 'direct', 'mob', 'join', 'uk', 'largest', 'paid', 'dogging', 'site', 'two', 'connected', 'computer', 'bittorrent', 'computer', 'txting', 'hot', 'gravel', 'nt', 'eca', 'p', 'msg']",want get laid tonight want real dogging location photo sent direct mob join uk largest paid dogging site two connected computer bittorrent computer txting hot gravel nt eca p msg
spam,today voda number ending selected name receive membership award at match request please received call quoting claim computer program course rate application per computer program,"['today', 'voda', 'number', 'ending', 'selected', 'name', 'receive', 'membership', 'award', 'match', 'request', 'please', 'received', 'call', 'quoting', 'claim', 'computer', 'program', 'course', 'rate', 'application', 'per', 'computer', 'program']",today voda number ending selected name receive membership award match request please received call quoting claim computer program course rate application per computer program
spam,today voda last number ending selected receive award of match date please call for quoting credit claim computer program course completion rate application computer program,"['today', 'voda', 'last', 'number', 'ending', 'selected', 'receive', 'award', 'match', 'date', 'please', 'call', 'quoting', 'credit', 'claim', 'computer', 'program', 'course', 'completion', 'rate', 'application', 'computer', 'program']",today voda last number ending selected receive award match date please call quoting credit claim computer program course completion rate application computer program
spam,text are banneduk but see cost of p textoperator s gga kiss,"['text', 'banneduk', 'see', 'cost', 'p', 'textoperator', 'gga', 'kiss']",text banneduk see cost p textoperator gga kiss
spam,text banneduk see detailed cost factor p from textoperator 2011 gga kiss,"['text', 'banneduk', 'see', 'detailed', 'cost', 'factor', 'p', 'textoperator', 'gga', 'kiss']",text banneduk see detailed cost factor p textoperator gga kiss
spam,go drop everything read by dave final notice collect a tenerife gold holiday cash award service call a landline tc card stamped text box cwwx ppm,"['go', 'drop', 'everything', 'read', 'dave', 'final', 'notice', 'collect', 'tenerife', 'gold', 'holiday', 'cash', 'award', 'service', 'call', 'landline', 'tc', 'card', 'stamped', 'text', 'box', 'cwwx', 'ppm']",go drop everything read dave final notice collect tenerife gold holiday cash award service call landline tc card stamped text box cwwx ppm
spam,just drop everything read goodbye dave in final stop notice please collect tenerife holiday cash award call landline phone tc stamped record box cwwx 15 ppm,"['drop', 'everything', 'read', 'goodbye', 'dave', 'final', 'stop', 'notice', 'please', 'collect', 'tenerife', 'holiday', 'cash', 'award', 'call', 'landline', 'phone', 'tc', 'stamped', 'record', 'box', 'cwwx', 'ppm']",drop everything read goodbye dave final stop notice please collect tenerife holiday cash award call landline phone tc stamped record box cwwx ppm
spam,december 2017 mobile app mths entitled update latest latest upgrade colour light camera mobile mobile free call mobile update commanding officer free,"['december', 'mobile', 'app', 'mths', 'entitled', 'update', 'latest', 'latest', 'upgrade', 'colour', 'light', 'camera', 'mobile', 'mobile', 'free', 'call', 'mobile', 'update', 'commanding', 'officer', 'free']",december mobile app mths entitled update latest latest upgrade colour light camera mobile mobile free call mobile update commanding officer free
spam,1 december mobile mths entitled in update latest colour flash camera mobile free call mobile programme update commanding information officer radio free,"['december', 'mobile', 'mths', 'entitled', 'update', 'latest', 'colour', 'flash', 'camera', 'mobile', 'free', 'call', 'mobile', 'programme', 'update', 'commanding', 'information', 'officer', 'radio', 'free']",december mobile mths entitled update latest colour flash camera mobile free call mobile programme update commanding information officer radio free
spam,congrats mobile mobile third party generation mobile phone network play videophones call game videochat mate play programming english language game dload and polyh pop music producer noline tv rentl bx radio ip pm,"['congrats', 'mobile', 'mobile', 'third', 'party', 'generation', 'mobile', 'phone', 'network', 'play', 'videophones', 'call', 'game', 'videochat', 'mate', 'play', 'programming', 'english', 'language', 'game', 'dload', 'polyh', 'pop', 'music', 'producer', 'noline', 'tv', 'rentl', 'bx', 'radio', 'ip', 'pm']",congrats mobile mobile third party generation mobile phone network play videophones call game videochat mate play programming english language game dload polyh pop music producer noline tv rentl bx radio ip pm
spam,congrats mobile voice third web generation wireless mobile phone network with videophones call videochat phone mate play programming game language game dload web polyh wireless music noline rentl bx communications ip network pm,"['congrats', 'mobile', 'voice', 'third', 'web', 'generation', 'wireless', 'mobile', 'phone', 'network', 'videophones', 'call', 'videochat', 'phone', 'mate', 'play', 'programming', 'game', 'language', 'game', 'dload', 'web', 'polyh', 'wireless', 'music', 'noline', 'rentl', 'bx', 'communication', 'ip', 'network', 'pm']",congrats mobile voice third web generation wireless mobile phone network videophones call videochat phone mate play programming game language game dload web polyh wireless music noline rentl bx communication ip network pm
spam,dont leave prize go with another customer tc a pmin hotel polo live suite london via wj and hl e please call back busy,"['dont', 'leave', 'prize', 'go', 'another', 'customer', 'tc', 'pmin', 'hotel', 'polo', 'live', 'suite', 'london', 'via', 'wj', 'hl', 'e', 'please', 'call', 'back', 'busy']",dont leave prize go another customer tc pmin hotel polo live suite london via wj hl e please call back busy
spam,dont prize go to another phone customer from tc or pmin polo live suite london wj hl ltd please not call back 1 busy,"['dont', 'prize', 'go', 'another', 'phone', 'customer', 'tc', 'pmin', 'polo', 'live', 'suite', 'london', 'wj', 'hl', 'ltd', 'please', 'call', 'back', 'busy']",dont prize go another phone customer tc pmin polo live suite london wj hl ltd please call back busy
spam,tmobile customer may claim free to camera phone upgrade pay with go subscriber option identity management module amusing to loyalty of call offer at end party thfeb tc apply,"['tmobile', 'customer', 'may', 'claim', 'free', 'camera', 'phone', 'upgrade', 'pay', 'go', 'subscriber', 'option', 'identity', 'management', 'module', 'amusing', 'loyalty', 'call', 'offer', 'end', 'party', 'thfeb', 'tc', 'apply']",tmobile customer may claim free camera phone upgrade pay go subscriber option identity management module amusing loyalty call offer end party thfeb tc apply
spam,tmobile online customer services may claim free iphone camera phone upgrade through pay to go fee subscriber identity module amusing loyalty call offer end thfeb services tc services apply,"['tmobile', 'online', 'customer', 'service', 'may', 'claim', 'free', 'iphone', 'camera', 'phone', 'upgrade', 'pay', 'go', 'fee', 'subscriber', 'identity', 'module', 'amusing', 'loyalty', 'call', 'offer', 'end', 'thfeb', 'service', 'tc', 'service', 'apply']",tmobile online customer service may claim free iphone camera phone upgrade pay go fee subscriber identity module amusing loyalty call offer end thfeb service tc service apply
spam,hear new divorce baby barbie come over ken see stuff,"['hear', 'new', 'divorce', 'baby', 'barbie', 'come', 'ken', 'see', 'stuff']",hear new divorce baby barbie come ken see stuff
spam,hear some new divorce barbie sisters come ken the stuff,"['hear', 'new', 'divorce', 'barbie', 'sister', 'come', 'ken', 'stuff']",hear new divorce barbie sister come ken stuff
spam,2014 good and luck cannabis take place feb 2017 good luck removal send reply stop customer service,"['good', 'luck', 'cannabis', 'take', 'place', 'feb', 'good', 'luck', 'removal', 'send', 'reply', 'stop', 'customer', 'service']",good luck cannabis take place feb good luck removal send reply stop customer service
spam,a good luck cannabis take takes place feb 4 good luck removal send stop customer relationship service,"['good', 'luck', 'cannabis', 'take', 'take', 'place', 'feb', 'good', 'luck', 'removal', 'send', 'stop', 'customer', 'relationship', 'service']",good luck cannabis take take place feb good luck removal send stop customer relationship service
spam,tv good looking adventure exciting adventure fantasy rate call p per minute name tune communications ltd uk po box croydon cr wb national rate call,"['tv', 'good', 'looking', 'adventure', 'exciting', 'adventure', 'fantasy', 'rate', 'call', 'p', 'per', 'minute', 'name', 'tune', 'communication', 'ltd', 'uk', 'po', 'box', 'croydon', 'cr', 'wb', 'national', 'rate', 'call']",tv good looking adventure exciting adventure fantasy rate call p per minute name tune communication ltd uk po box croydon cr wb national rate call
spam,good looking exciting fantasy call for p 9 per minute call name of tune ltd croydon po box croydon cr wb national rate charge call,"['good', 'looking', 'exciting', 'fantasy', 'call', 'p', 'per', 'minute', 'call', 'name', 'tune', 'ltd', 'croydon', 'po', 'box', 'croydon', 'cr', 'wb', 'national', 'rate', 'charge', 'call']",good looking exciting fantasy call p per minute call name tune ltd croydon po box croydon cr wb national rate charge call
spam,view secret admirer pause reveal think read special call opt reply pause reveal stop per se message recd cust no care,"['view', 'secret', 'admirer', 'pause', 'reveal', 'think', 'read', 'special', 'call', 'opt', 'reply', 'pause', 'reveal', 'stop', 'per', 'se', 'message', 'recd', 'cust', 'care']",view secret admirer pause reveal think read special call opt reply pause reveal stop per se message recd cust care
spam,secret admirer voice reveal think special call key opt reply caller reveal stop per line message recd end cust request care,"['secret', 'admirer', 'voice', 'reveal', 'think', 'special', 'call', 'key', 'opt', 'reply', 'caller', 'reveal', 'stop', 'per', 'line', 'message', 'recd', 'end', 'cust', 'request', 'care']",secret admirer voice reveal think special call key opt reply caller reveal stop per line message recd end cust request care
spam,air conditioning on jsco ac energy meter high listeners may know channel today leadership skill style strong talent psychic abilities reply yes answer wquestion end reply end jsco,"['air', 'conditioning', 'jsco', 'ac', 'energy', 'meter', 'high', 'listener', 'may', 'know', 'channel', 'today', 'leadership', 'skill', 'style', 'strong', 'talent', 'psychic', 'ability', 'reply', 'yes', 'answer', 'wquestion', 'end', 'reply', 'end', 'jsco']",air conditioning jsco ac energy meter high listener may know channel today leadership skill style strong talent psychic ability reply yes answer wquestion end reply end jsco
spam,good air tight conditioning jsco and energy high may always know channel is today superior leadership skill strong psychic drive reply answer wquestion end reply end respond jsco,"['good', 'air', 'tight', 'conditioning', 'jsco', 'energy', 'high', 'may', 'always', 'know', 'channel', 'today', 'superior', 'leadership', 'skill', 'strong', 'psychic', 'drive', 'reply', 'answer', 'wquestion', 'end', 'reply', 'end', 'respond', 'jsco']",good air tight conditioning jsco energy high may always know channel today superior leadership skill strong psychic drive reply answer wquestion end reply end respond jsco
spam,urgent duty mobile number is awarded prize guaranteed area call land secured line service claim valid hr ppm,"['urgent', 'duty', 'mobile', 'number', 'awarded', 'prize', 'guaranteed', 'area', 'call', 'land', 'secured', 'line', 'service', 'claim', 'valid', 'hr', 'ppm']",urgent duty mobile number awarded prize guaranteed area call land secured line service claim valid hr ppm
spam,urgent duty mobile business number awarded as prize guaranteed call insurance land line toll claim valid hr ppm,"['urgent', 'duty', 'mobile', 'business', 'number', 'awarded', 'prize', 'guaranteed', 'call', 'insurance', 'land', 'line', 'toll', 'claim', 'valid', 'hr', 'ppm']",urgent duty mobile business number awarded prize guaranteed call insurance land line toll claim valid hr ppm
spam,original nokia phone tone mob email every hour week message okay message tone free messages get txtin tell friend you ptone reply half life game info,"['original', 'nokia', 'phone', 'tone', 'mob', 'email', 'every', 'hour', 'week', 'message', 'okay', 'message', 'tone', 'free', 'message', 'get', 'txtin', 'tell', 'friend', 'ptone', 'reply', 'half', 'life', 'game', 'info']",original nokia phone tone mob email every hour week message okay message tone free message get txtin tell friend ptone reply half life game info
spam,nokia tone call mob every week message okay tone be free a get one txtin tell your friend to ptone reply half her life game info,"['nokia', 'tone', 'call', 'mob', 'every', 'week', 'message', 'okay', 'tone', 'free', 'get', 'one', 'txtin', 'tell', 'friend', 'ptone', 'reply', 'half', 'life', 'game', 'info']",nokia tone call mob every week message okay tone free get one txtin tell friend ptone reply half life game info
spam,lord rings ringsreturn for king a store to nowreply round lord bells ring the june chance win win lord ring soundtrack cd stdtxtrate bell reply stop end txts,"['lord', 'ring', 'ringsreturn', 'king', 'store', 'nowreply', 'round', 'lord', 'bell', 'ring', 'june', 'chance', 'win', 'win', 'lord', 'ring', 'soundtrack', 'cd', 'stdtxtrate', 'bell', 'reply', 'stop', 'end', 'txts']",lord ring ringsreturn king store nowreply round lord bell ring june chance win win lord ring soundtrack cd stdtxtrate bell reply stop end txts
spam,lord rings ringsreturn king diamond store nowreply lord ring open june 3 chance to win win lord ring soundtrack split cd stdtxtrate of reply for stop end txts,"['lord', 'ring', 'ringsreturn', 'king', 'diamond', 'store', 'nowreply', 'lord', 'ring', 'open', 'june', 'chance', 'win', 'win', 'lord', 'ring', 'soundtrack', 'split', 'cd', 'stdtxtrate', 'reply', 'stop', 'end', 'txts']",lord ring ringsreturn king diamond store nowreply lord ring open june chance win win lord ring soundtrack split cd stdtxtrate reply stop end txts
spam,current response leading bid pause bid auction send the customer care,"['current', 'response', 'leading', 'bid', 'pause', 'bid', 'auction', 'send', 'customer', 'care']",current response leading bid pause bid auction send customer care
spam,the current leading broker bid pause auction bid send customer care,"['current', 'leading', 'broker', 'bid', 'pause', 'auction', 'bid', 'send', 'customer', 'care']",current leading broker bid pause auction bid send customer care
spam,person contacted dating phone service someone know and find call mobile telephone landline phone poboxldns,"['person', 'contacted', 'dating', 'phone', 'service', 'someone', 'know', 'find', 'call', 'mobile', 'telephone', 'landline', 'phone', 'poboxldns']",person contacted dating phone service someone know find call mobile telephone landline phone poboxldns
spam,contacted mother dating advice service someone not know find call my mobile or landline poboxldns,"['contacted', 'mother', 'dating', 'advice', 'service', 'someone', 'know', 'find', 'call', 'mobile', 'landline', 'poboxldns']",contacted mother dating advice service someone know find call mobile landline poboxldns
spam,drop read everything key read subscriber cannabis store gift voucher read entered receipt correct an announced elvis presley 7 birthday message answer,"['drop', 'read', 'everything', 'key', 'read', 'subscriber', 'cannabis', 'store', 'gift', 'voucher', 'read', 'entered', 'receipt', 'correct', 'announced', 'elvis', 'presley', 'birthday', 'message', 'answer']",drop read everything key read subscriber cannabis store gift voucher read entered receipt correct announced elvis presley birthday message answer
spam,drop everything read subscriber had cannabis license gift check voucher entered receipt correct signature an erase elvis presley birthday note message answer,"['drop', 'everything', 'read', 'subscriber', 'cannabis', 'license', 'gift', 'check', 'voucher', 'entered', 'receipt', 'correct', 'signature', 'erase', 'elvis', 'presley', 'birthday', 'note', 'message', 'answer']",drop everything read subscriber cannabis license gift check voucher entered receipt correct signature erase elvis presley birthday note message answer
spam,loan on purpose homeowner home tenant welcome back previously leave refused sign whatever still help service call free text back help,"['loan', 'purpose', 'homeowner', 'home', 'tenant', 'welcome', 'back', 'previously', 'leave', 'refused', 'sign', 'whatever', 'still', 'help', 'service', 'call', 'free', 'text', 'back', 'help']",loan purpose homeowner home tenant welcome back previously leave refused sign whatever still help service call free text back help
spam,loan purpose change homeowner tenant welcome package previously not refused to whatever still available help call free time text back help,"['loan', 'purpose', 'change', 'homeowner', 'tenant', 'welcome', 'package', 'previously', 'refused', 'whatever', 'still', 'available', 'help', 'call', 'free', 'time', 'text', 'back', 'help']",loan purpose change homeowner tenant welcome package previously refused whatever still available help call free time text back help
spam,going to bahamas callfreefone speak exciting operator must claim either right bahamas cruise cash card opt down message no kiss,"['going', 'bahamas', 'callfreefone', 'speak', 'exciting', 'operator', 'must', 'claim', 'either', 'right', 'bahamas', 'cruise', 'cash', 'card', 'opt', 'message', 'kiss']",going bahamas callfreefone speak exciting operator must claim either right bahamas cruise cash card opt message kiss
spam,a going bahamas operator callfreefone please speak exciting bahamas operator claim is either bahamas cruise cash opt message free kiss,"['going', 'bahamas', 'operator', 'callfreefone', 'please', 'speak', 'exciting', 'bahamas', 'operator', 'claim', 'either', 'bahamas', 'cruise', 'cash', 'opt', 'message', 'free', 'kiss']",going bahamas operator callfreefone please speak exciting bahamas operator claim either bahamas cruise cash opt message free kiss
