Label,Data,text_length,clean,clean_sentence,clean_sentence_length
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,26,"['per', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'division', 'gang', 'callertune', 'caller', 'press', 'copy', 'friend', 'callertune']",per request melle melle oru minnaminunginte nurungu vettam division gang callertune caller press copy friend callertune,16
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",36,"['wow', 'right', 'didnt', 'cool', 'guess', 'gave', 'boston', 'men', 'changed', 'search', 'location', 'nyc', 'something', 'changed', 'signin', 'page', 'still', 'say', 'boston']",wow right didnt cool guess gave boston men changed search location nyc something changed signin page still say boston,19
ham,Umma my life and vava umma love you lot dear,10,"['umma', 'life', 'vava', 'umma', 'love', 'lot', 'drop', 'everything', 'read']",umma life vava umma love lot drop everything read,9
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,17,"['thanks', 'lot', 'wish', 'birthday', 'thanks', 'making', 'birthday', 'truly', 'memorable']",thanks lot wish birthday thanks making birthday truly memorable,9
ham,"Aight, I'll hit you up when I get some cash",10,"['aight', 'hit', 'get', 'cash']",aight hit get cash,4
ham,How would my ip address test that considering my computer isn't a minecraft server,14,"['would', 'internet', 'protocol', 'address', 'test', 'considering', 'computer', 'isnt', 'minecraft', 'server']",would internet protocol address test considering computer isnt minecraft server,10
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,24,"['know', 'grumpy', 'old', 'people', 'mom', 'like', 'better', 'lying', 'always', 'one', 'love', 'play', 'joke']",know grumpy old people mom like better lying always one love play joke,13
ham,Dont worry. I guess he's busy.,6,"['dont', 'worry', 'guess', 'he', 'busy']",dont worry guess he busy,5
ham,What is the plural of the noun research?,8,"['plural', 'noun', 'research']",plural noun research,3
ham,Going for dinner.msg you after.,5,"['going', 'dinner', 'msg']",going dinner msg,3
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,24,"['kidding', 'like', 'try', 'new', 'thing', 'scared', 'like', 'mah', 'said', 'loud']",kidding like try new thing scared like mah said loud,10
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,27,"['gent', 'whatever', 'trying', 'contact', 'last', 'weekend', 'cannabis', 'show', 'prize', 'guaranteed', 'call', 'claim', 'computer', 'program', 'k', 'valid', 'hr', 'ppm']",gent whatever trying contact last weekend cannabis show prize guaranteed call claim computer program k valid hr ppm,18
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",24,"['wa', 'openin', 'sentence', 'formal', 'anyway', 'fine', 'telegrahic', 'transfer', 'eatin', 'much', 'puttin', 'weight', 'haha', 'anythin', 'special', 'happened']",wa openin sentence formal anyway fine telegrahic transfer eatin much puttin weight haha anythin special happened,16
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",32,"['entered', 'cabin', 'personal', 'assistant', 'said', 'happy', 'bday', 'cool', 'felt', 'special', 'askd', 'lunch', 'lunch', 'invited', 'apartment', 'whatever', 'went']",entered cabin personal assistant said happy bday cool felt special askd lunch lunch invited apartment whatever went,17
spam,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,28,"['winner', 'specially', 'selected', 'receive', 'holiday', 'flight', 'incoming', 'speak', 'exciting', 'operator', 'claim', 'pmin']",winner specially selected receive holiday flight incoming speak exciting operator claim pmin,12
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,13,"['goodo', 'yes', 'whatever', 'must', 'speak', 'friday', 'eggpotato', 'ratio', 'tortilla', 'needed']",goodo yes whatever must speak friday eggpotato ratio tortilla needed,10
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,15,"['hmm', 'uncle', 'informed', 'he', 'paying', 'school', 'directly', 'please', 'buy', 'food']",hmm uncle informed he paying school directly please buy food,10
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,20,"['private', 'account', 'statement', 'show', 'unredeemed', 'bonus', 'point', 'claim', 'call', 'identifier', 'code', 'expires']",private account statement show unredeemed bonus point claim call identifier code expires,12
spam,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",26,"['urgent', 'mobile', 'awarded', 'bonus', 'caller', 'prize', 'final', 'try', 'contact', 'u', 'call', 'landline', 'boxwrc', 'ppm']",urgent mobile awarded bonus caller prize final try contact u call landline boxwrc ppm,14
ham,here is my new address -apples&pairs&all that malarky,8,"['new', 'address', 'applespairsall', 'malarky']",new address applespairsall malarky,4
